Title,Difficulty Level,Submissions,Accepted,Acceptance Rate,Likes,Comments,Tags
946. Validate Stack Sequences,Medium,462.4K,322.1K,69.7%,6K,41,"array, stack, simulation"
947. Most Stones Removed with Same Row or Column,Medium,503.9K,313.1K,62.1%,5.9K,147,"hash-table, depth-first-search, union-find, graph"
948. Bag of Tokens,Medium,402.1K,237.4K,59.0%,3.3K,106,"array, two-pointers, greedy, sorting"
,,,,,0,0,
950. Reveal Cards In Increasing Order,Medium,246.7K,204.9K,83.1%,3.5K,199,"array, queue, sorting, simulation"
951. Flip Equivalent Binary Trees,Medium,348.3K,243.3K,69.8%,2.8K,109,"tree, depth-first-search, binary-tree"
952. Largest Component Size by Common Factor,Hard,136.6K,56.1K,41.0%,1.7K,11,"array, hash-table, math, union-find, number-theory"
953. Verifying an Alien Dictionary,Easy,953.5K,527.1K,55.3%,4.9K,133,"array, hash-table, string"
954. Array of Doubled Pairs,Medium,235.4K,92.3K,39.2%,1.5K,7,"array, hash-table, greedy, sorting"
955. Delete Columns to Make Sorted II,Medium,60.2K,21.3K,35.3%,665,7,"array, string, greedy"
956. Tallest Billboard,Hard,117.7K,61.3K,52.1%,2.4K,65,"array, dynamic-programming"
957. Prison Cells After N Days,Medium,420.8K,164.1K,39.0%,1.5K,20,"array, hash-table, math, bit-manipulation"
958. Check Completeness of a Binary Tree,Medium,437K,250.7K,57.4%,4.3K,38,"tree, breadth-first-search, binary-tree"
959. Regions Cut By Slashes,Medium,177K,138K,78.0%,3.9K,219,"array, hash-table, depth-first-search, breadth-first-search, union-find, matrix"
960. Delete Columns to Make Sorted III,Hard,26.7K,15.6K,58.5%,605,4,"array, string, dynamic-programming"
961. N-Repeated Element in Size 2N Array,Easy,321.9K,248.1K,77.1%,1.4K,11,"array, hash-table"
962. Maximum Width Ramp,Medium,312.4K,173.1K,55.4%,2.6K,183,"array, stack, monotonic-stack"
963. Minimum Area Rectangle II,Medium,54.9K,30.3K,55.3%,389,13,"array, math, geometry"
964. Least Operators to Express Number,Hard,21.6K,10.6K,48.8%,319,2,"math, dynamic-programming, memoization"
965. Univalued Binary Tree,Easy,326.2K,233.2K,71.5%,1.9K,10,"tree, depth-first-search, breadth-first-search, binary-tree"
966. Vowel Spellchecker,Medium,83.9K,43.2K,51.4%,427,6,"array, hash-table, string"
967. Numbers With Same Consecutive Differences,Medium,236.8K,138.3K,58.4%,2.8K,9,"backtracking, breadth-first-search"
968. Binary Tree Cameras,Hard,319.4K,149.7K,46.9%,5.4K,19,"dynamic-programming, tree, depth-first-search, binary-tree"
969. Pancake Sorting,Medium,139.6K,99.2K,71.1%,1.5K,22,"array, two-pointers, greedy, sorting"
970. Powerful Integers,Medium,129.7K,57K,43.9%,394,9,"hash-table, math, enumeration"
971. Flip Binary Tree To Match Preorder Traversal,Medium,86.2K,43.8K,50.8%,960,6,"tree, depth-first-search, binary-tree"
972. Equal Rational Numbers,Hard,18.1K,8.1K,44.5%,98,2,"math, string"
973. K Closest Points to Origin,Medium,2M,1.3M,67.0%,8.5K,47,"array, math, divide-and-conquer, geometry, sorting, heap-priority-queue, quickselect"
974. Subarray Sums Divisible by K,Medium,669.7K,371.6K,55.5%,7.3K,174,"array, hash-table, prefix-sum"
975. Odd Even Jump,Hard,225K,90.8K,40.4%,2K,49,"array, dynamic-programming, stack, monotonic-stack, ordered-set"
976. Largest Perimeter Triangle,Easy,448.1K,253.3K,56.5%,3K,43,"array, math, greedy, sorting"
977. Squares of a Sorted Array,Easy,2.7M,2M,73.0%,9.4K,116,"array, two-pointers, sorting"
978. Longest Turbulent Subarray,Medium,227.7K,108.5K,47.6%,2K,19,"array, dynamic-programming, sliding-window"
979. Distribute Coins in Binary Tree,Medium,264K,203.7K,77.2%,5.9K,175,"tree, depth-first-search, binary-tree"
980. Unique Paths III,Hard,259.4K,212.9K,82.1%,5.2K,81,"array, backtracking, bit-manipulation, matrix"
981. Time Based Key-Value Store,Medium,1M,501.1K,49.3%,4.9K,88,"hash-table, string, binary-search, design"
982. Triples with Bitwise AND Equal To Zero,Hard,33.5K,19.6K,58.7%,448,7,"array, hash-table, bit-manipulation"
983. Minimum Cost For Tickets,Medium,485.6K,316.8K,65.2%,8K,58,"array, dynamic-programming"
984. String Without AAA or BBB,Medium,115.1K,50.9K,44.3%,828,10,"string, greedy"
985. Sum of Even Numbers After Queries,Medium,208.9K,142.7K,68.3%,2.1K,11,"array, simulation"
986. Interval List Intersections,Medium,619.1K,445.7K,72.0%,5.6K,24,"array, two-pointers"
987. Vertical Order Traversal of a Binary Tree,Hard,998.5K,491.2K,49.2%,7.8K,126,"hash-table, tree, depth-first-search, breadth-first-search, sorting, binary-tree"
988. Smallest String Starting From Leaf,Medium,324.6K,196.5K,60.6%,2.3K,143,"string, backtracking, tree, depth-first-search, binary-tree"
989. Add to Array-Form of Integer,Easy,613.9K,276.7K,45.1%,3.5K,142,"array, math"
990. Satisfiability of Equality Equations,Medium,267.5K,135.8K,50.7%,3.8K,23,"array, string, union-find, graph"
991. Broken Calculator,Medium,192.7K,105.6K,54.8%,2.7K,19,"math, greedy"
992. Subarrays with K Different Integers,Hard,383.4K,246.9K,64.4%,6.2K,140,"array, hash-table, sliding-window, counting"
993. Cousins in Binary Tree,Easy,518.2K,295.8K,57.1%,4.1K,51,"tree, depth-first-search, breadth-first-search, binary-tree"
994. Rotting Oranges,Medium,1.8M,1M,55.2%,13.2K,110,"array, breadth-first-search, matrix"
995. Minimum Number of K Consecutive Bit Flips,Hard,199.9K,125.4K,62.7%,1.9K,108,"array, bit-manipulation, queue, sliding-window, prefix-sum"
996. Number of Squareful Arrays,Hard,83.3K,41.9K,50.3%,994,13,"array, hash-table, math, dynamic-programming, backtracking, bit-manipulation, bitmask"
997. Find the Town Judge,Easy,1.3M,622.2K,49.8%,6.7K,218,"array, hash-table, graph"
998. Maximum Binary Tree II,Medium,54.9K,38.5K,70.1%,540,22,"tree, binary-tree"
999. Available Captures for Rook,Easy,101.5K,70.7K,69.6%,720,16,"array, matrix, simulation"
1000. Minimum Cost to Merge Stones,Hard,96.5K,42.2K,43.7%,2.5K,11,"array, dynamic-programming, prefix-sum"
1001. Grid Illumination,Hard,59.7K,22.4K,37.5%,616,11,"array, hash-table"
1002. Find Common Characters,Easy,499.7K,372.9K,74.6%,4.3K,292,"array, hash-table, string"
1003. Check If Word Is Valid After Substitutions,Medium,113.3K,68.3K,60.3%,1K,15,"string, stack"
1004. Max Consecutive Ones III,Medium,1.1M,723.6K,64.3%,8.8K,64,"array, binary-search, sliding-window, prefix-sum"
1005. Maximize Sum Of Array After K Negations,Easy,193.7K,100K,51.6%,1.6K,26,"array, greedy, sorting"
1006. Clumsy Factorial,Medium,59K,34.1K,57.9%,378,8,"math, stack, simulation"
1007. Minimum Domino Rotations For Equal Row,Medium,399.8K,209K,52.3%,2.9K,10,"array, greedy"
1008. Construct Binary Search Tree from Preorder Traversal,Medium,488.5K,403.8K,82.7%,6.2K,33,"array, stack, tree, binary-search-tree, monotonic-stack, binary-tree"
1009. Complement of Base 10 Integer,Easy,446.1K,271.3K,60.8%,2.5K,26,bit-manipulation
1010. Pairs of Songs With Total Durations Divisible by 60,Medium,546.9K,290.3K,53.1%,4.2K,23,"array, hash-table, counting"
1011. Capacity To Ship Packages Within D Days,Medium,643.2K,454.3K,70.6%,9.7K,146,"array, binary-search"
1012. Numbers With Repeated Digits,Hard,43.3K,18.5K,42.8%,783,10,"math, dynamic-programming"
1013. Partition Array Into Three Parts With Equal Sum,Easy,240.1K,101K,42.1%,1.7K,25,"array, greedy"
1014. Best Sightseeing Pair,Medium,169.9K,101K,59.4%,2.6K,22,"array, dynamic-programming"
1015. Smallest Integer Divisible by K,Medium,138.4K,64.5K,46.6%,1.1K,7,"hash-table, math"
1016. Binary String With Substrings Representing 1 To N,Medium,70K,40.4K,57.8%,359,7,string
1017. Convert to Base -2,Medium,47.7K,29.2K,61.2%,521,7,math
1018. Binary Prefix Divisible By 5,Easy,126.4K,59.2K,46.8%,737,14,"array, bit-manipulation"
1019. Next Greater Node In Linked List,Medium,276.5K,169.8K,61.4%,3.3K,16,"array, linked-list, stack, monotonic-stack"
1020. Number of Enclaves,Medium,375.1K,260.9K,69.5%,4.1K,68,"array, depth-first-search, breadth-first-search, union-find, matrix"
1021. Remove Outermost Parentheses,Easy,460.5K,387.4K,84.1%,3K,61,"string, stack"
1022. Sum of Root To Leaf Binary Numbers,Easy,301.5K,220.7K,73.2%,3.4K,18,"tree, depth-first-search, binary-tree"
1023. Camelcase Matching,Medium,82.7K,52K,62.9%,926,18,"array, two-pointers, string, trie, string-matching"
1024. Video Stitching,Medium,140.7K,72.6K,51.6%,1.8K,13,"array, dynamic-programming, greedy"
1025. Divisor Game,Easy,407.3K,282.7K,69.4%,2.2K,102,"math, dynamic-programming, brainteaser, game-theory"
1026. Maximum Difference Between Node and Ancestor,Medium,433.4K,338.4K,78.1%,5K,98,"tree, depth-first-search, binary-tree"
1027. Longest Arithmetic Subsequence,Medium,374.5K,184.3K,49.2%,4.7K,98,"array, hash-table, binary-search, dynamic-programming"
1028. Recover a Tree From Preorder Traversal,Hard,73.5K,55.3K,75.2%,1.6K,11,"string, tree, depth-first-search, binary-tree"
1029. Two City Scheduling,Medium,376.3K,252.4K,67.1%,4.8K,31,"array, greedy, sorting"
1030. Matrix Cells in Distance Order,Easy,88.2K,63.4K,71.9%,768,18,"array, math, geometry, sorting, matrix"
1031. Maximum Sum of Two Non-Overlapping Subarrays,Medium,123.5K,74.1K,60.0%,2.6K,14,"array, dynamic-programming, sliding-window"
1032. Stream of Characters,Hard,177.6K,92.7K,52.2%,1.8K,13,"array, string, design, trie, data-stream"
1033. Moving Stones Until Consecutive,Medium,54.8K,26.9K,49.1%,229,7,"math, brainteaser"
1034. Coloring A Border,Medium,77.3K,38.2K,49.4%,753,23,"array, depth-first-search, breadth-first-search, matrix"
1035. Uncrossed Lines,Medium,262.4K,166.9K,63.6%,3.8K,63,"array, dynamic-programming"
1036. Escape a Large Maze,Hard,65.9K,23K,34.9%,676,6,"array, hash-table, depth-first-search, breadth-first-search"
1037. Valid Boomerang,Easy,153.8K,57.5K,37.4%,429,15,"array, math, geometry"
1038. Binary Search Tree to Greater Sum Tree,Medium,336.3K,296.9K,88.3%,4.3K,127,"tree, depth-first-search, binary-search-tree, binary-tree"
1039. Minimum Score Triangulation of Polygon,Medium,93.3K,55.9K,59.9%,1.9K,17,"array, dynamic-programming"
1040. Moving Stones Until Consecutive II,Medium,19.7K,11.3K,57.4%,378,12,"array, math, two-pointers, sorting"
1041. Robot Bounded In Circle,Medium,438.8K,245.7K,56.0%,3.8K,24,"math, string, simulation"
1042. Flower Planting With No Adjacent,Medium,163.4K,84.6K,51.8%,1.5K,13,"depth-first-search, breadth-first-search, graph"
1043. Partition Array for Maximum Sum,Medium,270.8K,207.8K,76.7%,4.8K,143,"array, dynamic-programming"
1044. Longest Duplicate Substring,Hard,233.7K,71.4K,30.6%,2.2K,21,"string, binary-search, sliding-window, rolling-hash, suffix-array, hash-function"
1045. Customers Who Bought All Products,Medium,382K,238.8K,62.5%,791,63,database
1046. Last Stone Weight,Easy,1M,682.1K,65.6%,6.1K,42,"array, heap-priority-queue"
1047. Remove All Adjacent Duplicates In String,Easy,898.3K,631.8K,70.3%,6.7K,101,"string, stack"
1048. Longest String Chain,Medium,705.8K,433.6K,61.4%,7.4K,63,"array, hash-table, two-pointers, string, dynamic-programming, sorting"
1049. Last Stone Weight II,Medium,172.2K,97K,56.3%,3.2K,37,"array, dynamic-programming"
1050. Actors and Directors Who Cooperated At Least Three Times,Easy,287K,201.8K,70.3%,671,41,database
1051. Height Checker,Easy,650.4K,526.2K,80.9%,1.6K,162,"array, sorting, counting-sort"
1052. Grumpy Bookstore Owner,Medium,313.6K,201.4K,64.2%,2.5K,193,"array, sliding-window"
1053. Previous Permutation With One Swap,Medium,85.4K,42.4K,49.6%,452,7,"array, greedy"
1054. Distant Barcodes,Medium,98.1K,46K,46.9%,1.3K,10,"array, hash-table, greedy, sorting, heap-priority-queue, counting"
1061. Lexicographically Smallest Equivalent String,Medium,109.2K,83.8K,76.7%,2.4K,95,"string, union-find"
1068. Product Sales Analysis I,Easy,798.2K,678.4K,85.0%,1K,112,database
1070. Product Sales Analysis III,Medium,487.5K,214.9K,44.1%,476,183,database
1071. Greatest Common Divisor of Strings,Easy,1.1M,592K,52.1%,5.3K,303,"math, string"
1072. Flip Columns For Maximum Number of Equal Rows,Medium,37.6K,24.1K,64.1%,748,5,"array, hash-table, matrix"
1073. Adding Two Negabinary Numbers,Medium,50.6K,18.8K,37.2%,321,3,"array, math"
1074. Number of Submatrices That Sum to Target,Hard,212K,157.8K,74.4%,3.7K,82,"array, hash-table, matrix, prefix-sum"
1075. Project Employees I,Easy,525.9K,335.8K,63.8%,673,88,database
1078. Occurrences After Bigram,Easy,122.1K,77.6K,63.5%,498,13,string
1079. Letter Tile Possibilities,Medium,139.7K,106.8K,76.4%,2.5K,13,"hash-table, string, backtracking, counting"
1080. Insufficient Nodes in Root to Leaf Paths,Medium,71.6K,40.3K,56.2%,706,19,"tree, depth-first-search, binary-tree"
1081. Smallest Subsequence of Distinct Characters,Medium,121.6K,74.7K,61.4%,2.6K,17,"string, stack, greedy, monotonic-stack"
1084. Sales Analysis III,Easy,320.3K,149.8K,46.8%,741,79,database
1089. Duplicate Zeros,Easy,862K,450.4K,52.2%,2.6K,64,"array, two-pointers"
1090. Largest Values From Labels,Medium,65.5K,41K,62.6%,463,9,"array, hash-table, greedy, sorting, counting"
1091. Shortest Path in Binary Matrix,Medium,1.1M,546.4K,48.3%,6.7K,98,"array, breadth-first-search, matrix"
1092. Shortest Common Supersequence,Hard,236.8K,141.2K,59.6%,5K,30,"string, dynamic-programming"
1093. Statistics from a Large Sample,Medium,50.2K,21.1K,42.1%,159,11,"array, math, probability-and-statistics"
1094. Car Pooling,Medium,420.6K,235.3K,56.0%,4.5K,23,"array, sorting, heap-priority-queue, simulation, prefix-sum"
1095. Find in Mountain Array,Hard,369.8K,148.8K,40.2%,3.3K,179,"array, binary-search, interactive"
1096. Brace Expansion II,Hard,40.4K,25.8K,63.8%,483,10,"string, backtracking, stack, breadth-first-search"
1103. Distribute Candies to People,Easy,140.9K,92.6K,65.7%,986,9,"math, simulation"
1104. Path In Zigzag Labelled Binary Tree,Medium,62.9K,47.5K,75.5%,1.5K,11,"math, tree, binary-tree"
1105. Filling Bookcase Shelves,Medium,208.5K,143.4K,68.8%,2.6K,172,"array, dynamic-programming"
1106. Parsing A Boolean Expression,Hard,173.5K,122.5K,70.6%,1.7K,164,"string, stack, recursion"
1108. Defanging an IP Address,Easy,783.9K,700.7K,89.4%,2.2K,55,string
1109. Corporate Flight Bookings,Medium,113.2K,71.1K,62.8%,1.7K,14,"array, prefix-sum"
1110. Delete Nodes And Return Forest,Medium,483.7K,350.3K,72.4%,4.6K,126,"array, hash-table, tree, depth-first-search, binary-tree"
1111. Maximum Nesting Depth of Two Valid Parentheses Strings,Medium,39.4K,28.4K,72.1%,441,37,"string, stack"
1114. Print in Order,Easy,243.4K,170.7K,70.1%,1.5K,28,concurrency
1115. Print FooBar Alternately,Medium,136.7K,92.1K,67.3%,691,8,concurrency
1116. Print Zero Even Odd,Medium,90.1K,55.7K,61.9%,498,23,concurrency
1117. Building H2O,Medium,101.9K,58.1K,57.0%,524,21,concurrency
1122. Relative Sort Array,Easy,463.3K,346.6K,74.8%,3.2K,168,"array, hash-table, sorting, counting-sort"
1123. Lowest Common Ancestor of Deepest Leaves,Medium,163.6K,119.1K,72.8%,2K,27,"hash-table, tree, depth-first-search, breadth-first-search, binary-tree"
1124. Longest Well-Performing Interval,Medium,99.5K,35.3K,35.5%,1.4K,19,"array, hash-table, stack, monotonic-stack, prefix-sum"
1125. Smallest Sufficient Team,Hard,117.8K,65.4K,55.5%,2.2K,46,"array, dynamic-programming, bit-manipulation, bitmask"
1128. Number of Equivalent Domino Pairs,Easy,150.5K,73.3K,48.7%,693,16,"array, hash-table, counting"
1129. Shortest Path with Alternating Colors,Medium,262.8K,123.7K,47.1%,3.5K,95,"breadth-first-search, graph"
1130. Minimum Cost Tree From Leaf Values,Medium,155.8K,105.6K,67.8%,4.3K,24,"array, dynamic-programming, stack, greedy, monotonic-stack"
1131. Maximum of Absolute Value Expression,Medium,53.2K,25.8K,48.5%,650,9,"array, math"
1137. N-th Tribonacci Number,Easy,1.3M,842.5K,63.7%,4.5K,143,"math, dynamic-programming, memoization"
1138. Alphabet Board Path,Medium,103.2K,53.2K,51.6%,911,16,"hash-table, string"
1139. Largest 1-Bordered Square,Medium,52.3K,26.4K,50.5%,721,5,"array, dynamic-programming, matrix"
1140. Stone Game II,Medium,243K,178K,73.3%,3.3K,322,"array, math, dynamic-programming, prefix-sum, game-theory"
1141. User Activity for the Past 30 Days I,Easy,592.4K,291.1K,49.1%,725,120,database
1143. Longest Common Subsequence,Medium,2.2M,1.2M,57.8%,13.8K,171,"string, dynamic-programming"
1144. Decrease Elements To Make Array Zigzag,Medium,45.1K,21.7K,48.2%,438,9,"array, greedy"
1145. Binary Tree Coloring Game,Medium,92.2K,48.2K,52.3%,1.4K,12,"tree, depth-first-search, binary-tree"
1146. Snapshot Array,Medium,619.2K,227.9K,36.8%,3.7K,81,"array, hash-table, binary-search, design"
1147. Longest Chunked Palindrome Decomposition,Hard,43.9K,25.8K,58.8%,677,10,"two-pointers, string, dynamic-programming, greedy, rolling-hash, hash-function"
1148. Article Views I,Easy,1.1M,862.7K,76.7%,1.6K,172,database
1154. Day of the Year,Easy,137.2K,67.2K,49.0%,461,20,"math, string"
1155. Number of Dice Rolls With Target Sum,Medium,498K,305K,61.2%,5.1K,120,dynamic-programming
1156. Swap For Longest Repeated Character Substring,Medium,77.4K,34K,43.9%,1K,9,"hash-table, string, sliding-window"
1157. Online Majority Element In Subarray,Hard,42K,17.6K,41.9%,637,8,"array, binary-search, design, binary-indexed-tree, segment-tree"
1158. Market Analysis I,Medium,200.2K,114.6K,57.2%,657,53,database
1160. Find Words That Can Be Formed by Characters,Easy,389.2K,275.3K,70.7%,2.1K,60,"array, hash-table, string, counting"
1161. Maximum Level Sum of a Binary Tree,Medium,477.8K,320.9K,67.2%,3.6K,72,"tree, depth-first-search, breadth-first-search, binary-tree"
1162. As Far from Land as Possible,Medium,310.4K,160.4K,51.7%,4.2K,42,"array, dynamic-programming, breadth-first-search, matrix"
1163. Last Substring in Lexicographical Order,Hard,104.1K,35.9K,34.5%,596,9,"two-pointers, string"
1164. Product Price at a Given Date,Medium,301.6K,171.3K,56.8%,971,108,database
1169. Invalid Transactions,Medium,260.7K,80.9K,31.0%,555,29,"array, hash-table, string, sorting"
1170. Compare Strings by Frequency of the Smallest Character,Medium,133.6K,83.6K,62.6%,716,11,"array, hash-table, string, binary-search, sorting"
1171. Remove Zero Sum Consecutive Nodes from Linked List,Medium,321.8K,169.7K,52.7%,3.3K,107,"hash-table, linked-list"
1172. Dinner Plate Stacks,Hard,59.4K,19.4K,32.6%,486,4,"hash-table, stack, design, heap-priority-queue"
1174. Immediate Food Delivery II,Medium,410.5K,216.9K,52.8%,805,158,database
1175. Prime Arrangements,Easy,57.7K,33.6K,58.3%,412,16,math
1177. Can Make Palindrome from Substring,Medium,75K,29.7K,39.6%,816,9,"array, hash-table, string, bit-manipulation, prefix-sum"
1178. Number of Valid Words for Each Puzzle,Hard,68.1K,31.9K,46.8%,1.3K,5,"array, hash-table, string, bit-manipulation, trie"
1179. Reformat Department Table,Easy,166.1K,127.6K,76.9%,752,28,database
1184. Distance Between Bus Stops,Easy,118.9K,64.5K,54.3%,768,11,array
1185. Day of the Week,Easy,123.7K,71.6K,57.9%,408,22,math
1186. Maximum Subarray Sum with One Deletion,Medium,126.7K,56.2K,44.4%,1.8K,12,"array, dynamic-programming"
1187. Make Array Strictly Increasing,Hard,103K,59.8K,58.0%,2.3K,54,"array, binary-search, dynamic-programming, sorting"
